,mur1,mur2,mur3,mur4,mur5,mur6,mur7,mur8,mur9,mur10,mur11,mur12,mur13,mur14,mur15,mur16,mur17,mur18,mur19,mur20,mur21,mur22,mur23,mur24,mur25,mur26,mur27,mur28,mur29,mur30,mur31,mur32
mur11,0.501755334,0.504185795,0.563597083,0.547394005,0.565622468,0.550769646,0.552119903,0.553335134,0.554955442,0.565487443,1,0.558061032,0.553875236,0.555765595,0.563867135,0.548744261,0.548879287,0.555765595,0.555495544,0.554955442,0.555090467,0.551309749,0.556575749,0.54847421,0.553065082,0.547258979,0.562921955,0.55252498,0.552119903,0.555495544,0.556845801,0.552795031
mur12,0.505401026,0.500270051,0.539427491,0.556440724,0.551984877,0.551984877,0.554955442,0.551849851,0.551849851,0.556710775,0.558061032,1,0.549149338,0.559951391,0.559411288,0.556980826,0.548744261,0.557520929,0.564812314,0.549689441,0.556035647,0.557385903,0.556170672,0.558601134,0.560761545,0.55873616,0.556845801,0.556170672,0.567917904,0.553470159,0.559411288,0.562921955
mur13,0.500405077,0.502295436,0.551444775,0.544693492,0.549959492,0.546988928,0.548339184,0.539832568,0.558196057,0.552795031,0.553875236,0.549149338,1,0.544153389,0.554955442,0.560086416,0.551849851,0.544963543,0.545503646,0.554145288,0.561031596,0.557250878,0.548744261,0.555225493,0.54847421,0.561301647,0.54536862,0.563327032,0.547529031,0.550904672,0.554415339,0.543073184
mur14,0.510396975,0.506346206,0.565217391,0.558466109,0.561031596,0.563192006,0.550499595,0.562246827,0.557115852,0.557926006,0.555765595,0.559951391,0.544153389,1,0.548744261,0.557655955,0.559411288,0.543883338,0.556575749,0.556305698,0.557520929,0.549149338,0.556035647,0.562246827,0.561706724,0.554010262,0.557250878,0.565487443,0.558871186,0.566567648,0.56278693,0.567647853
mur15,0.500405077,0.502835539,0.560626519,0.553065082,0.562921955,0.555090467,0.559411288,0.55468539,0.564137186,0.573859033,0.563867135,0.559411288,0.554955442,0.548744261,1,0.568458007,0.556710775,0.555765595,0.558466109,0.558196057,0.552119903,0.562111801,0.550094518,0.561706724,0.563327032,0.558061032,0.560761545,0.561436673,0.55779098,0.563056981,0.551984877,0.559276262
mur16,0.499864974,0.49068323,0.562246827,0.559276262,0.553200108,0.560491493,0.557250878,0.560086416,0.555495544,0.554415339,0.548744261,0.556980826,0.560086416,0.557655955,0.568458007,1,0.556440724,0.549554415,0.551984877,0.557385903,0.551039698,0.5515798,0.561166622,0.56494734,0.553065082,0.550499595,0.563462058,0.572238725,0.562381853,0.551174723,0.563056981,0.555765595
mur17,0.49783959,0.51242236,0.549149338,0.556710775,0.556035647,0.564137186,0.551984877,0.551039698,0.555360518,0.548339184,0.548879287,0.548744261,0.551849851,0.559411288,0.556710775,0.556440724,1,0.556710775,0.551849851,0.546448825,0.55873616,0.559546314,0.556170672,0.546178774,0.559681339,0.561706724,0.566567648,0.555090467,0.54442344,0.553200108,0.548609236,0.546178774
mur18,0.506346206,0.496354307,0.560626519,0.563327032,0.565622468,0.552119903,0.546718877,0.561436673,0.545233594,0.559816365,0.555765595,0.557520929,0.544963543,0.543883338,0.555765595,0.549554415,0.556710775,1,0.551714826,0.557926006,0.562921955,0.561301647,0.550094518,0.557385903,0.574399136,0.556170672,0.561301647,0.550364569,0.550499595,0.559816365,0.547394005,0.555495544
mur19,0.506616257,0.50310559,0.549824467,0.555765595,0.549149338,0.546178774,0.566972725,0.564137186,0.560626519,0.564137186,0.555495544,0.564812314,0.545503646,0.556575749,0.558466109,0.551984877,0.551849851,0.551714826,1,0.56089657,0.558871186,0.552119903,0.555765595,0.555765595,0.555225493,0.558871186,0.552389954,0.564137186,0.557250878,0.561976776,0.554415339,0.559546314
mur20,0.502835539,0.499864974,0.549824467,0.557385903,0.553470159,0.55563057,0.544288415,0.551714826,0.552795031,0.564677289,0.554955442,0.549689441,0.554145288,0.556305698,0.558196057,0.557385903,0.546448825,0.557926006,0.56089657,1,0.556710775,0.549959492,0.56278693,0.558196057,0.566567648,0.546718877,0.548879287,0.554955442,0.556170672,0.557115852,0.560356468,0.557115852
mur21,0.484607075,0.500810154,0.549149338,0.545098569,0.549824467,0.566567648,0.555495544,0.555090467,0.561301647,0.55779098,0.555090467,0.556035647,0.561031596,0.557520929,0.552119903,0.551039698,0.55873616,0.562921955,0.558871186,0.556710775,1,0.560086416,0.555900621,0.549959492,0.569133135,0.561976776,0.559276262,0.547799082,0.553605185,0.576154469,0.545098569,0.55779098
